# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K)
4.454545454545454675e+01, 2.360175781130331529e+01, 2.360175781130331529e+01, 2.360175781130331529e+01
4.545454545454545325e+01, 2.381469179995692187e+01, 2.381469179995692187e+01, 2.381469179995692187e+01
4.636363636363635976e+01, 2.403074631406845896e+01, 2.403074631406845896e+01, 2.403074631406845896e+01
4.727272727272727337e+01, 2.424914139335367480e+01, 2.424914139335367480e+01, 2.424914139335367480e+01
4.818181818181817988e+01, 2.446910992154601061e+01, 2.446910992154601061e+01, 2.446910992154601061e+01
4.909090909090909349e+01, 2.468990402764255521e+01, 2.468990402764255521e+01, 2.468990402764255521e+01
5.000000000000000000e+01, 2.491080066167860707e+01, 2.491080066167860707e+01, 2.491080066167860707e+01
5.090909090909090651e+01, 2.513110635605756826e+01, 2.513110635605756826e+01, 2.513110635605756826e+01
5.181818181818181301e+01, 2.535016119735921691e+01, 2.535016119735921691e+01, 2.535016119735921691e+01
5.272727272727272663e+01, 2.556734204447723968e+01, 2.556734204447723968e+01, 2.556734204447723968e+01
5.363636363636363313e+01, 2.578206503719884424e+01, 2.578206503719884424e+01, 2.578206503719884424e+01
5.454545454545454675e+01, 2.599378744524992868e+01, 2.599378744524992868e+01, 2.599378744524992868e+01
5.545454545454545325e+01, 2.620200891170454938e+01, 2.620200891170454938e+01, 2.620200891170454938e+01
5.636363636363635976e+01, 2.640627214679873092e+01, 2.640627214679873092e+01, 2.640627214679873092e+01
5.727272727272727337e+01, 2.660616312888393509e+01, 2.660616312888393509e+01, 2.660616312888393509e+01
5.818181818181817988e+01, 2.680131086876320268e+01, 2.680131086876320268e+01, 2.680131086876320268e+01
5.909090909090908639e+01, 2.699138679221288228e+01, 2.699138679221288228e+01, 2.699138679221288228e+01
6.000000000000000000e+01, 2.717610379331377857e+01, 2.717610379331377857e+01, 2.717610379331377857e+01
6.090909090909090651e+01, 2.735521500848037135e+01, 2.735521500848037135e+01, 2.735521500848037135e+01
6.181818181818182012e+01, 2.752851235794665641e+01, 2.752851235794665641e+01, 2.752851235794665641e+01
6.272727272727272663e+01, 2.769582489807459069e+01, 2.769582489807459069e+01, 2.769582489807459069e+01
6.363636363636363313e+01, 2.785701702430977988e+01, 2.785701702430977988e+01, 2.785701702430977988e+01
6.454545454545454675e+01, 2.801198656101382056e+01, 2.801198656101382056e+01, 2.801198656101382056e+01
6.545454545454545325e+01, 2.816066277082535052e+01, 2.816066277082535052e+01, 2.816066277082535052e+01
6.636363636363635976e+01, 2.830300431270640971e+01, 2.830300431270640971e+01, 2.830300431270640971e+01
6.727272727272728048e+01, 2.843899717446051767e+01, 2.843899717446051767e+01, 2.843899717446051767e+01
6.818181818181818699e+01, 2.856865260229955084e+01, 2.856865260229955084e+01, 2.856865260229955084e+01
6.909090909090909349e+01, 2.869200504701331411e+01, 2.869200504701331411e+01, 2.869200504701331411e+01
7.000000000000000000e+01, 2.880911014347385191e+01, 2.880911014347385191e+01, 2.880911014347385191e+01
7.090909090909090651e+01, 2.892004273759654964e+01, 2.892004273759654964e+01, 2.892004273759654964e+01
7.181818181818181301e+01, 2.902489497248521033e+01, 2.902489497248521033e+01, 2.902489497248521033e+01
7.272727272727271952e+01, 2.912377444330805076e+01, 2.912377444330805076e+01, 2.912377444330805076e+01
