# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K), rho(mol/m3), rho(mol/m3), rho(mol/m3)
3.181818181818182012e+01, 3.579224508906889923e+01, 2.995411747314028972e+01, 2.619706339545161100e+01, 3.538890385530891945e+04, 3.821409535597217473e+04, 4.189692696936124412e+04
3.272727272727272663e+01, 3.790851788372113162e+01, 3.078330929814297434e+01, 2.666908880490859701e+01, 3.455155547535845108e+04, 3.764885416201681801e+04, 4.150013306982771610e+04
3.363636363636364024e+01, 4.053064962193953846e+01, 3.165972878357320042e+01, 2.714882746866278751e+01, 3.364449359029805782e+04, 3.706899047383612196e+04, 4.110026030670520413e+04
3.454545454545454675e+01, 4.392467372723358210e+01, 3.258883868080241086e+01, 2.763563243080917431e+01, 3.264628759292579343e+04, 3.647336969513679651e+04, 4.069736082561140211e+04
3.545454545454545325e+01, 4.858924259816465252e+01, 3.357698148935616445e+01, 2.812880036680256879e+01, 3.152293325428201933e+04, 3.586070338241408172e+04, 4.029149670016421442e+04
3.636363636363635976e+01, 5.558329010896031264e+01, 3.463145358488006309e+01, 2.862757587897370115e+01, 3.021544909728511266e+04, 3.522953040154986229e+04, 3.988273909538237058e+04
3.727272727272727337e+01, 6.762268928358909648e+01, 3.576051974370479769e+01, 2.913115550492436867e+01, 2.860686131306396055e+04, 3.457820064845145680e+04, 3.947116759924039070e+04
3.818181818181817988e+01, 9.430064585124900134e+01, 3.697330679802949049e+01, 2.963869122385904120e+01, 2.640667223878399091e+04, 3.390486507030814391e+04, 3.905686973613542796e+04
3.909090909090909349e+01, 1.983156329745496578e+02, 3.827947178195265820e+01, 3.014929324968261071e+01, 2.248973138585583365e+04, 3.320747841783653712e+04, 3.863994067878308124e+04
4.000000000000000000e+01, 2.251595398281827727e+02, 3.968847225887241592e+01, 3.066203191850799215e+01, 1.483585335035508615e+04, 3.248382541707773271e+04, 3.822048317645193310e+04
4.090909090909090651e+01, 1.108636029018226168e+02, 4.120816931059014365e+01, 3.117593851581518649e+01, 1.163362726652565834e+04, 3.173158746732558211e+04, 3.779860771702527563e+04
4.181818181818181301e+01, 7.837742909138849257e+01, 4.284237516723422345e+01, 3.169000494597778328e+01, 1.012952692377626227e+04, 3.094847589037433136e+04, 3.737443293791680480e+04
4.272727272727272663e+01, 6.359271877517196714e+01, 4.458686797582507921e+01, 3.220318222350610426e+01, 9.169738228106858514e+03, 3.013246831230870157e+04, 3.694808629625575122e+04
4.363636363636364024e+01, 5.517298157273935288e+01, 4.642348425096349018e+01, 3.271437785913587959e+01, 8.472093463657707616e+03, 2.928219272986164287e+04, 3.651970500193336920e+04
