# T(K), P(Pa), rhog(mol/m3), rhol(mol/m3)
3.058756886227545380e+01, 4.977152763751448947e+05, 2.512196909097800017e+03, 3.500414953373742901e+04
3.070502994011976483e+01, 5.085968785288872314e+05, 2.568156545870449918e+03, 3.489464392389065324e+04
3.082249101796407587e+01, 5.196468097023894661e+05, 2.625216253233656516e+03, 3.478420155189857905e+04
3.093995209580838690e+01, 5.308666691032695817e+05, 2.683402661940864618e+03, 3.467279743878052250e+04
3.105741317365269794e+01, 5.422580711266451981e+05, 2.742743527546622772e+03, 3.456040548160799517e+04
3.117487425149700897e+01, 5.538226461368286982e+05, 2.803267799759175887e+03, 3.444699838500191981e+04
3.129233532934132000e+01, 5.655620412951587932e+05, 2.865005697212361611e+03, 3.433254758732221671e+04
3.140979640718563104e+01, 5.774779214362025959e+05, 2.927988788168189785e+03, 3.421702318103776634e+04
3.152725748502994207e+01, 5.895719699961032020e+05, 2.992250077729596796e+03, 3.410039382671764179e+04
3.164471856287425311e+01, 6.018458899973004591e+05, 3.057824102210642650e+03, 3.398262666000722675e+04
3.176217964071856414e+01, 6.143014050910597434e+05, 3.124747031363941460e+03, 3.386368719088881335e+04
3.187964071856287518e+01, 6.269402606662549078e+05, 3.193056779300375638e+03, 3.374353919443802442e+04
3.199710179640718621e+01, 6.397642250258065760e+05, 3.262793124978859851e+03, 3.362214459218995762e+04
3.211456287425149725e+01, 6.527750906359436922e+05, 3.333997843280327288e+03, 3.349946332311785955e+04
3.223202395209580828e+01, 6.659746754572195932e+05, 3.406714847833216027e+03, 3.337545320311226533e+04
3.234948502994012642e+01, 6.793648243593444349e+05, 3.480990346848483568e+03, 3.325006977168544836e+04
3.246694610778443746e+01, 6.929474106295838719e+05, 3.556873013444932440e+03, 3.312326612447838124e+04
3.258440718562874849e+01, 7.067243375792988809e+05, 3.634414172095508093e+03, 3.299499272994227067e+04
3.270186826347305953e+01, 7.206975402606282150e+05, 3.713668003103145111e+03, 3.286519722835591529e+04
3.281932934131737056e+01, 7.348689872995496262e+05, 3.794691767224140222e+03, 3.273382421107390473e+04
3.293679041916168160e+01, 7.492406828545236494e+05, 3.877546052875909936e+03, 3.260081497760683851e+04
3.305425149700599263e+01, 7.638146687140949070e+05, 3.962295048746197153e+03, 3.246610726778419485e+04
3.317171257485030367e+01, 7.785930265456773341e+05, 4.049006845017564956e+03, 3.232963496584779932e+04
3.328917365269461470e+01, 7.935778803053881275e+05, 4.137753766875113797e+03, 3.219132777282865209e+04
3.340663473053892574e+01, 8.087713988288984401e+05, 4.228612744611820744e+03, 3.205111084302084419e+04
3.352409580838323677e+01, 8.241757986159271095e+05, 4.321665725246313741e+03, 3.190890437966911850e+04
3.364155688622754781e+01, 8.397933468307587318e+05, 4.417000131439011057e+03, 3.176462318422095268e+04
3.375901796407185884e+01, 8.556263645343167009e+05, 4.514709374369213947e+03, 3.161817615252793257e+04
3.387647904191616988e+01, 8.716772301787256729e+05, 4.614893428496052366e+03, 3.146946571027107348e+04
3.399394011976048091e+01, 8.879483833833020180e+05, 4.717659477364945815e+03, 3.131838717851223555e+04
3.411140119760479195e+01, 9.044423290269412100e+05, 4.823122641394870698e+03, 3.116482805864804686e+04
3.422886227544910298e+01, 9.211616416876416188e+05, 4.931406800515246687e+03, 3.100866722405281325e+04
3.434632335329341402e+01, 9.381089704689312493e+05, 5.042645527009523903e+03, 3.084977400328419026e+04
3.446378443113772505e+01, 9.552870442543050740e+05, 5.156983146878837033e+03, 3.068800713675724182e+04
3.458124550898203609e+01, 9.726986774421709124e+05, 5.274575951776241709e+03, 3.052321358516193868e+04
3.469870658682634712e+01, 9.903467762145712040e+05, 5.395593588058976820e+03, 3.035522716337105521e+04
3.481616766467065816e+01, 1.008234345405781525e+06, 5.520220655230526063e+03, 3.018386696796988326e+04
3.493362874251496919e+01, 1.026364496046387474e+06, 5.648658553162217686e+03, 3.000893555948946596e+04
3.505108982035928022e+01, 1.044740453665799578e+06, 5.781127626421207424e+03, 2.983021685150642224e+04
3.516855089820359126e+01, 1.063365567455857992e+06, 5.917869665518477632e+03, 2.964747364746262247e+04
